ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_week,month_name,hour_of_day
91CA4C9E6F9244F8,electric_bike,"2025-01-08 11:29:45","2025-01-08 11:32:33","Woodlawn Ave & 58th St",22002,"Woodlawn Ave & 55th St",TA1307000164,41.789381,-87.596479,41.795264,-87.596471,member,2,Wednesday,January,11
75C473A31E8826EE,electric_bike,"2025-01-27 06:50:32","2025-01-27 06:58:32","New St & Illinois St",TA1306000013,"Milwaukee Ave & Grand Ave",13033,41.890847,-87.618617,41.891578,-87.648384,member,8,Monday,January,6
6AA10BF0999EFE93,electric_bike,"2025-01-16 06:55:50","2025-01-16 07:03:23","New St & Illinois St",TA1306000013,"Milwaukee Ave & Grand Ave",13033,41.890847,-87.618617,41.891578,-87.648384,member,7,Thursday,January,6
6635BF7D26E33A91,electric_bike,"2025-01-02 16:09:36","2025-01-02 16:12:21","Clifton Ave & Armitage Ave",TA1307000163,"Racine Ave & Fullerton Ave",TA1306000026,41.918216,-87.656936,41.925566,-87.658416,member,2,Thursday,January,16
A603CF3D12237FB8,classic_bike,"2025-01-28 08:17:52","2025-01-28 08:29:19","Western Ave & Winnebago Ave",13068,"Artesian Ave & Hubbard St",15664,41.915520,-87.687022,41.889500,-87.688257,member,11,Tuesday,January,8
D1F20AD76F5D2A13,classic_bike,"2025-01-30 08:21:01","2025-01-30 08:34:40","Western Ave & Winnebago Ave",13068,"Artesian Ave & Hubbard St",15664,41.915520,-87.687022,41.889500,-87.688257,member,13,Thursday,January,8
6D4CE41139A77CD5,classic_bike,"2025-01-29 07:20:59","2025-01-29 07:32:41","Western Ave & Winnebago Ave",13068,"Artesian Ave & Hubbard St",15664,41.915520,-87.687022,41.889500,-87.688257,member,11,Wednesday,January,7
F8C41696DB2EECF8,electric_bike,"2025-01-16 21:31:54","2025-01-16 21:42:23","Broadway & Cornelia Ave",13278,"Racine Ave & Fullerton Ave",TA1306000026,41.945529,-87.646439,41.925566,-87.658416,member,10,Thursday,January,21
C544AFB54FB96B3D,electric_bike,"2025-01-25 22:15:48","2025-01-25 22:19:14","Ellis Ave & 58th St",TA1309000011,"Woodlawn Ave & 55th St",TA1307000164,41.788746,-87.601334,41.795264,-87.596471,member,3,Saturday,January,22
40493EA61BA93D5A,classic_bike,"2025-01-16 12:04:28","2025-01-16 12:07:06","Clark St & Newport St",632,"Sheffield Ave & Waveland Ave",TA1307000126,41.944540,-87.654678,41.949399,-87.654529,member,2,Thursday,January,12
9C0A791AE3D9C957,classic_bike,"2025-01-12 17:46:10","2025-01-12 17:51:37","Wabash Ave & Grand Ave",TA1307000117,"Daley Center Plaza",TA1306000010,41.891466,-87.626761,41.884241,-87.629634,member,5,Sunday,January,17
82FC46E4A8B33FC3,classic_bike,"2025-01-03 19:59:43","2025-01-03 20:21:03","Wilton Ave & Diversey Pkwy*",chargingstx2,"Michigan Ave & Pearson St",13034,41.932418,-87.652705,41.897660,-87.623510,member,21,Friday,January,19
34163BAD7D56481D,electric_bike,"2025-01-06 16:54:22","2025-01-06 16:59:30","Clark St & Elm St",TA1307000039,"Michigan Ave & Pearson St",13034,41.902973,-87.631280,41.897660,-87.623510,member,5,Monday,January,16
F9515A95F1F15C55,classic_bike,"2025-01-16 18:20:26","2025-01-16 18:33:12","Clark St & Schiller St",TA1309000024,"Daley Center Plaza",TA1306000010,41.907993,-87.631501,41.884241,-87.629634,member,12,Thursday,January,18
AE908854A2691A89,classic_bike,"2025-01-13 16:14:55","2025-01-13 16:18:58","Wabash Ave & Wacker Pl",TA1307000131,"Daley Center Plaza",TA1306000010,41.886875,-87.626030,41.884241,-87.629634,member,4,Monday,January,16
A06D440C1A7C4DF8,electric_bike,"2025-01-17 11:46:06","2025-01-17 11:53:47","Elizabeth St & Randolph St",23001,"Daley Center Plaza",TA1306000010,41.884336,-87.658902,41.884241,-87.629634,member,7,Friday,January,11
36FFB0D7D087F41F,classic_bike,"2025-01-02 13:55:29","2025-01-02 14:59:44","Southport Ave & Clybourn Ave",TA1309000030,"Michigan Ave & Pearson St",13034,41.921576,-87.666434,41.897660,-87.623510,casual,64,Thursday,January,13
AC96123562228851,electric_bike,"2025-01-02 07:15:00","2025-01-02 07:33:44","Stockton Dr & Wrightwood Ave",13276,"Daley Center Plaza",TA1306000010,41.931320,-87.638742,41.884241,-87.629634,member,18,Thursday,January,7
D71EE11BC5A963AB,classic_bike,"2025-01-25 13:11:34","2025-01-25 13:22:48","Sedgwick St & Schiller St",TA1307000143,"Michigan Ave & Pearson St",13034,41.907626,-87.638566,41.897660,-87.623510,member,11,Saturday,January,13
5E5E512A88BE5333,classic_bike,"2025-01-23 21:55:08","2025-01-23 22:49:07","Dearborn Pkwy & Delaware Pl",TA1307000128,"Clark St & Columbia Ave",RP-008,41.898969,-87.629912,42.004451,-87.672402,member,53,Thursday,January,21
DDF68A146CABD59D,classic_bike,"2025-01-12 00:09:39","2025-01-12 00:52:40","Dearborn Pkwy & Delaware Pl",TA1307000128,"Clark St & Columbia Ave",RP-008,41.898969,-87.629912,42.004451,-87.672402,member,43,Sunday,January,0
9F63DE220166E70B,electric_bike,"2025-01-24 12:49:11","2025-01-24 12:55:39","Broadway & Belmont Ave",13277,"Southport Ave & Roscoe St",13071,41.940106,-87.645451,41.943739,-87.664020,member,6,Friday,January,12
65C7DB3CBC7910D7,classic_bike,"2025-01-27 17:19:11","2025-01-27 17:29:51","Wabash Ave & Wacker Pl",TA1307000131,"Franklin St & Jackson Blvd",TA1305000025,41.886875,-87.626030,41.877708,-87.635321,member,10,Monday,January,17
76C35525F4186613,electric_bike,"2025-01-05 14:25:59","2025-01-05 14:33:24","Clark St & Wellington Ave",TA1307000136,"W Armitage Ave & N Sheffield Ave",20254.0,41.936497,-87.647539,41.917805,-87.653449,member,7,Sunday,January,14
EB80B2F04A0F600D,electric_bike,"2025-01-28 16:16:31","2025-01-28 16:20:28","Ping Tom Park (East)",20260.0,"Halsted St & 18th St",13099,41.857989,-87.631945,41.857506,-87.645991,member,3,Tuesday,January,16
8959147BA615DDD2,electric_bike,"2025-01-11 16:58:10","2025-01-11 17:09:30","Dearborn Pkwy & Delaware Pl",TA1307000128,"W Armitage Ave & N Sheffield Ave",20254.0,41.898969,-87.629912,41.917805,-87.653449,member,11,Saturday,January,16
A6CC6346E70BFBE6,classic_bike,"2025-01-27 07:50:52","2025-01-27 08:00:55","Indiana Ave & Roosevelt Rd",SL-005,"Franklin St & Jackson Blvd",TA1305000025,41.867888,-87.623041,41.877708,-87.635321,member,10,Monday,January,7
DA637BD117561ED1,classic_bike,"2025-01-30 08:02:07","2025-01-30 08:11:45","Indiana Ave & Roosevelt Rd",SL-005,"Franklin St & Jackson Blvd",TA1305000025,41.867888,-87.623041,41.877708,-87.635321,member,9,Thursday,January,8
56E9D9BE79879B68,classic_bike,"2025-01-29 08:05:37","2025-01-29 08:15:15","Indiana Ave & Roosevelt Rd",SL-005,"Franklin St & Jackson Blvd",TA1305000025,41.867888,-87.623041,41.877708,-87.635321,member,9,Wednesday,January,8
B35E12DC25F94FCA,classic_bike,"2025-01-06 07:35:30","2025-01-06 07:45:07","Indiana Ave & Roosevelt Rd",SL-005,"Franklin St & Jackson Blvd",TA1305000025,41.867888,-87.623041,41.877708,-87.635321,member,9,Monday,January,7
9D25840100EB3DEC,classic_bike,"2025-01-06 16:25:15","2025-01-06 16:38:07","Lincoln Ave & Sunnyside Ave",TA1307000156,"Damen Ave & Foster Ave",KA1504000149,41.963004,-87.684781,41.975811,-87.679510,member,12,Monday,January,16
79CE85341A5DFA80,electric_bike,"2025-01-28 15:09:59","2025-01-28 15:15:03","Franklin St & Lake St",TA1307000111,"Dearborn St & Van Buren St",624,41.885837,-87.635500,41.876268,-87.629155,member,5,Tuesday,January,15
630223B69E717E0A,electric_bike,"2025-01-08 08:30:24","2025-01-08 08:36:08","Morgan St & Lake St*",chargingstx4,"Franklin St & Jackson Blvd",TA1305000025,41.885492,-87.652289,41.877708,-87.635321,member,5,Wednesday,January,8
74B768AEE097323A,classic_bike,"2025-01-15 16:08:22","2025-01-15 16:18:45","Canal St & Harrison St",13326,"Michigan Ave & Ida B Wells Dr",TA1305000010,41.874255,-87.639573,41.876203,-87.624464,member,10,Wednesday,January,16
E09F190E2C23F571,classic_bike,"2025-01-02 16:13:53","2025-01-02 16:26:52","Clark St & Chicago Ave",13303,"Dearborn St & Van Buren St",624,41.896750,-87.630890,41.876268,-87.629155,member,12,Thursday,January,16
84CE731301AAB846,classic_bike,"2025-01-06 16:00:47","2025-01-06 16:09:46","Wolcott (Ravenswood) Ave & Montrose Ave",TA1307000144,"Leavitt St & Lawrence Ave",TA1309000015,41.961406,-87.676169,41.968885,-87.684001,member,8,Monday,January,16
